DataSet,Title,Organism,Platform,Series,samples
GDS6063,Influenza A effect on plasmacytoid dendritic cells,Homo sapiens,GPL10558,GSE68849,10
GDS6010,Influenza virus H5N1 infection of U251 astrocyte cell line: time course,Homo sapiens,GPL6480,GSE66597,18
GDS5879,Pulmonary CDC11c+ cells from young and middle-age animals,Mus musculus,GPL6885,GSE71868,8
GDS5826,Multiple myeloma cell lines with acquired resistance to chemotherapeutic agent carfilzomib,Homo sapiens,GPL570,GSE69078,12
GDS5825,Interleukin-1α deficiency effect on injured spinal cord,Mus musculus,GPL6246,GSE70302,12
GDS5881,Nebulin deficiency effect on the soleus,Mus musculus,GPL6246,GSE70213,12
GDS5880,Nebulin deficiency effect on the quadriceps,Mus musculus,GPL6246,GSE70213,12
GDS5913,SRPIN803 small molecule inhibitor of SRPK1 effect on retinal pigment epithelial cell line,Homo sapiens,GPL570,GSE62947,6
GDS5665,Pathogen-associated molecular-pattern curdlan effect on interleukin-2 deficient GM-CSF myeloid dendritic cells,Mus musculus,GPL6246,GSE58120,12
GDS5662,Histone demethylase KDM3A-deficiency effect on estrogen-stimulated breast cancer cells in vitro,Homo sapiens,GPL10558,GSE68918,11
GDS5948,Zipper-interacting protein kinase deficiency effect on coronary artery smooth muscle cells in vitro,Homo sapiens,GPL6244,GSE56819,6
GDS5659,Rho-associated kinase deficiency effect on coronary artery smooth muscle cells in vitro,Homo sapiens,GPL6244,GSE56819,6
GDS5658,Retinoid X receptor activation effect on stimulated RAW264.7 cells,Mus musculus,GPL1261,GSE62107,6
GDS5661,Interleukin 7 and FLT-3 ligand effect on EML1 HSPC line expressing acute lymphoblastic leukemia TEL-AML1 fusion protein: time course,Mus musculus,GPL11533,GSE64919,12
GDS5657,Transcription factor Cabut deficiency and overexpression effects on heads: time course,Drosophila melanogaster,GPL1322,GSE67865,6
GDS5655,Lymphotoxin-β receptor agonist antibody effect on lipopolysaccharide-stimulated embryonic fibroblasts,Mus musculus,GPL6885,GSE62301,4
GDS5656,"Forkhead box O 1,3,4 muscle-specific knockout effect on fasted gastrocnemius muscle",Mus musculus,GPL1261,GSE52667,4
GDS6100,MicroRNA-135b overexpression effect on prostate cancer cell line: time course,Homo sapiens,GPL10558,GSE57820,12
GDS5660,Early postnatal skeletal muscle stem cells: time course,Mus musculus,GPL1261,GSE65927,11
GDS5624,Epigenetic modifying reagents effect on a progressive hearing loss model: whole cochlea,Mus musculus,GPL1261,GSE62173,16
GDS5626,pH1N1 influenza virus infection of interferon regulatory factor 7-deficient peripheral blood mononuclear cells: time course,Homo sapiens,GPL10558,GSE66486,18
GDS5663,Pulmonary dendritic cell subsets,Mus musculus,GPL1261,GSE64896,12
GDS5610,Heritable pulmonary arterial hypertension: cardiac right ventricular wall,Homo sapiens,GPL6244,GSE67492,6
GDS5805,Peptidyl-prolyl cis/trans isomerase Pin1 deficiency effect on prostate cancer cells,Homo sapiens,GPL6244,GSE67457,6
GDS5625,DNA methyltransferase inhibitor 5-aza-2’-deoxycytidine effect on oral cancer cell lines,Homo sapiens,GPL6883,GSE38823,16
GDS6083,Chronic lymphocytic leukemia cells response to the neutralization of inhibitor of apoptosis proteins,Homo sapiens,GPL570,GSE62533,12
GDS5817,Interleukin 17A effect on monocyte-derived dendritic cells,Homo sapiens,GPL570,GSE53163,9
GDS5812,Staphylococcal alpha-toxin effect on airway epithelial cells,Homo sapiens,GPL6244,GSE65018,8
GDS5618,Pregnancy effect on transplanted male pancreatic islets,Mus musculus,GPL6246,GSE59143,20
GDS5813,Bone morphogenetic protein 4 and forskolin effect on embryonic AGM VE-cadherin+ cells,Mus musculus,GPL1261,GSE62517,8
GDS5612,Sirtuin-1 activator resveratrol effect on adult secondary neurospheres,Mus musculus,GPL7202,GSE39551,4
GDS5611,Sirtuin-1 deficiency effect on adult secondary neurospheres,Mus musculus,GPL7202,GSE39551,4
GDS5623,Interferon-gamma effect on lipopolysaccharide-activated bone marrow-derived macrophages,Mus musculus,GPL6885,GSE60290,15
GDS6082,Sendai virus infection effect on monocytic cell line: dose response,Homo sapiens,GPL10558,GSE67198,11
GDS5622,Myelodysplastic syndrome disorder: bone marrow mesenchymal stromal cells,Homo sapiens,GPL10558,GSE61853,14
GDS5664,Estradiol effect on uterus of EAAE estrogen receptor α DNA-binding-deficient model,Mus musculus,GPL4134,GSE56423,12
GDS5806,FLT3/ITD-SmoM2 acute myeloid leukemia model: sorted bone marrow cells,Mus musculus,GPL1261,GSE67134,6
GDS5666,4T1 breast cancer model: metastatic sub-populations,Mus musculus,GPL7202,GSE62598,15
GDS5615,Oral histone deacetylase inhibitor ST7612AA1 effect on diffuse large B-cell lymphoma in vitro models,Homo sapiens,GPL10558,GSE62460,12
GDS5621,Estradiol effect on MCF7 breast cancer cells expressing progesterone receptor-B,Homo sapiens,GPL10558,GSE45643,12
GDS5614,All-trans retinoic acid effect on HL60 myeloid cells overexpressing ecotropic virus integration site 1,Homo sapiens,GPL570,GSE66837,12
GDS5613,All-trans retinoic acid effect on U937 myeloid cells overexpressing ecotropic virus integration site 1,Homo sapiens,GPL570,GSE66854,12
GDS5815,Sunitinib effect on renal cancer xenograft tumors,Homo sapiens,GPL6244,GSE66346,9
GDS5809,Anti-leukemia drug etoposide effect on ecotropic viral integration site 1-overexpressing myeloid cells,Homo sapiens,GPL11532,GSE66660,8
GDS6064,Arthritic tarsal joints induced by collagen: time course,Mus musculus,GPL6246,GSE61140,15
GDS5801,Protein kinase C δ deficiency effect on breast cancer cells,Homo sapiens,GPL10558,GSE55503,12
