"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HES4",474.244360870062,2.25539433948185,0.308091937294835,7.32052373484705,2.47005018338223e-13,9.60712296325501e-12
"ISG15",5807.51455215721,7.22445268172248,0.505586175073676,14.2892607391207,2.55305180297228e-46,6.27154935881015e-44
"RNF223",27.737560819991,1.44543778125032,0.428555210725031,3.372815789137,0.000744037123704043,0.00568048408184515
"SCNN1D",17.7094048568848,1.97399672311453,0.492411811694271,4.00883300569595,6.10195465280605e-05,0.000657227454219926
"THAP3",110.721421217895,1.21758559278051,0.196463088824108,6.19752850302894,5.73566542773111e-10,1.54741401385532e-08
"TNFRSF9",10.7891364404303,3.24124385666136,0.799720022823162,4.05297324583566,5.05707876332394e-05,0.000561977911460808
"ERRFI1",1778.54122216534,1.24670513447867,0.193028042370268,6.45867366818772,1.05624601846528e-10,3.04939314444348e-09
"SPSB1",490.108039252566,1.32157623623575,0.190889544685435,6.92325102673153,4.41394582159736e-12,1.52602640479028e-10
"FBXO6",250.420003021539,1.46383556275459,0.233232361083436,6.27629697677726,3.46731622750728e-10,9.50403548601893e-09
"PADI1",198.607040307171,-1.3203979787445,0.265244829785918,-4.97803474552248,6.42331273881232e-07,1.0981590350287e-05
"PADI3",121.721902174084,-1.44768294122737,0.282669821044347,-5.1214626870275,3.03174735390036e-07,5.56363387278018e-06
"ALPL",3.87667926440011,4.29895186992058,1.2407159471675,3.46489611883759,0.000530436329548762,0.00427586038361644
"WNT4",40.2344682284765,2.36190996899791,0.567915867996268,4.15890821528063,3.19772350243438e-05,0.000373743943915577
"E2F2",5.50777991395864,-2.14277967300616,0.69394277566212,-3.08783338937659,0.00201621474973978,0.0129203839477603
"MYOM3",23.231162121767,1.1062213260232,0.358396742916224,3.08658308951703,0.00202471351199056,0.012968910610655
"IL22RA1",67.6375840643102,2.23568638555836,0.282369639217219,7.9175877114696,2.4216279243703e-15,1.06964145731965e-13
"CLIC4",1756.60862928452,1.3457936074263,0.264281024201972,5.09228239708121,3.53778638966039e-07,6.40001098553293e-06
"IFI6",2568.96992316057,6.99692461812416,0.611496016982683,11.442306121059,2.56963008096781e-30,2.78914421656677e-28
"THEMIS2",276.094897761183,3.9582355952653,0.262860890248109,15.0582903052988,3.04561769084092e-51,1.06611847267887e-48
"PHACTR4",707.340392612535,1.21028008104269,0.140097106932668,8.63886562357323,5.67739045719517e-18,3.09318370356602e-16
"RAB42",3.34647676580883,2.51160184772258,0.977983894689349,2.56814233993125,0.0102245162471083,0.048984946143631
"MARCKSL1",1286.39972379329,2.12694103454922,0.196061489581462,10.8483366064884,2.03087562188967e-27,1.90847788306705e-25
"RNF19B",529.271483295234,2.55155761253662,0.204721808766209,12.4635358973918,1.18019428070245e-35,1.77689035681674e-33
"ZNF362",63.0623876990422,-1.17770071479721,0.33794588048927,-3.48487962951986,0.000492358477929167,0.00401514467557612
