"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZC3H12A",591.891340300133,1.67049946326292,0.242484135528537,6.88910826937924,5.61431987832405e-12,3.53337221542324e-08
"SPRR2D",891.97288972516,2.97211774915185,0.619793499195889,4.79533546739008,1.62402819938364e-06,0.0010220821472821
"SPRR2E",251.485590130754,3.60937614295625,0.78179705737793,4.61676864717519,3.89761366723086e-06,0.00190704815976207
"S100A7",97.5486618487357,4.21568588367008,1.14491534053203,3.68209398060042,0.000231326098591575,0.0469629290801961
"ADAM8",529.040741007479,1.00891041559164,0.257769385609457,3.91400403584086,9.0778116981933e-05,0.0228524831690318
"IRF7",1142.45823675077,1.5706644021681,0.367661431688798,4.27204016193238,1.93692679853853e-05,0.00658921557113635
"IFITM10",90.7531696959805,-1.57652814851919,0.335177230825193,-4.70356576620029,2.55656692526557e-06,0.00139910903862251
"MRGPRX3",41.5979714004167,1.96658099385344,0.513782359137702,3.82765378934773,0.000129370551943376,0.0280756402984703
"SAA2",173.387985661994,2.43004279633176,0.562362463597926,4.32113263887609,1.55230322332347e-05,0.0057467178446978
"SAA1",1094.58991891196,2.21748975803444,0.499673036231675,4.43788156903126,9.08485791325253e-06,0.00381170355180365
"HEPHL1",186.906269671576,1.30373221902073,0.339794761118912,3.83682260058295,0.000124636437359718,0.0280142649472637
"BIRC3",294.431996044951,1.67876722548015,0.385027121900175,4.36012719622228,1.29986863188838e-05,0.00511295202174343
"RND1",285.043973542158,1.51483550231707,0.364237948945291,4.15891728663507,3.1975965289777e-05,0.00998653041327499
"KRT6B",9012.00140522209,1.54981619318219,0.288568772283527,5.3706996114585,7.84317627146193e-08,9.87220597288913e-05
"CYP27B1",233.153981318918,1.20802403764722,0.26275387147005,4.59754990816534,4.27488247265111e-06,0.00198270327922979
"OAS3",2000.79588945666,1.31003970933758,0.319851169449805,4.09577901994561,4.20751131023043e-05,0.0120363511049705
"IRF9",695.96743514822,1.24963135086329,0.184104236969066,6.78762950508987,1.1399092324185e-11,4.78267916948388e-08
"IFI27",1070.37254019041,2.88428454807505,0.652724974831265,4.4188358945828,9.92339595288148e-06,0.00402921886641675
"TNFAIP2",868.214851691738,1.54737281900345,0.36042062569865,4.29324158683753,1.76083229036159e-05,0.00633245601108039
"C15orf48",447.344821245013,1.23387071996429,0.322024181842723,3.83160889627511,0.00012730800343202,0.0280756402984703
"BCL2A1",71.8185835760524,2.3296395110093,0.547090413014326,4.2582349381222,2.06047341196144e-05,0.00682504706219965
"RHCG",1066.76639245146,1.34475213911343,0.298260739758295,4.50864616041383,6.5242615217498e-06,0.00283175447497465
"IL32",377.248610939079,1.2159362481387,0.298708324714138,4.07064734236096,4.68826770270094e-05,0.0128285272986732
"XAF1",500.851802137179,2.50702677766569,0.513651293994976,4.88079521452585,1.0565891650036e-06,0.000831205488743769
"CSF3",76.1747662320795,4.83421740929504,0.852943120993896,5.66769024839775,1.44735310625328e-08,2.27722919355126e-05
"ITGB3",20.8819591097303,1.19734601127307,0.306394019590233,3.90786351794459,9.31158787642556e-05,0.0229813640393272
"SOCS3",282.022928057308,1.03878743632504,0.250009289422354,4.1549953552732,3.25294150269544e-05,0.00998653041327499
"C1QTNF1",83.3145887692993,1.87718074216871,0.299138540587297,6.27528882932719,3.48985838811561e-10,8.78536950624223e-07
"C3",1462.72367694141,1.50599485272641,0.255509405011852,5.89408774466265,3.7675694242646e-09,6.77462804903123e-06
"IL36G",305.698978935107,2.71867988258321,0.560357932443151,4.85168447733006,1.22417268295672e-06,0.000856036753354235
"CCL20",481.685734254113,3.14698377446023,0.678528455535899,4.63795401472847,3.51875046819319e-06,0.00184543800596449
"MMP9",130.906287949065,2.27912796595289,0.558872329533516,4.07808339313427,4.54084803854888e-05,0.0127012565024922
"MX1",4895.95962917877,2.4888264667185,0.512343048619828,4.85773442895929,1.18736517065609e-06,0.000856036753354235
"MAFF",466.289733950962,1.13653170644886,0.223545704317072,5.08411338039771,3.6934727030302e-07,0.000357613391638777
"PDGFB",152.779758424558,1.00924098168231,0.244186171721736,4.1330799961613,3.57934075307306e-05,0.0104774795485885
"IRAK2",162.716012522562,1.59434707641954,0.266497861364714,5.98258863412645,2.19618930781597e-09,4.6072391362466e-06
"CXCL1",1694.74048886863,1.41717422026896,0.300200025251181,4.72076649255174,2.34957549599053e-06,0.00138994268497476
"CXCL5",81.2010457986909,3.50745905093916,0.46655062788201,7.51785302885969,5.56830457408174e-14,7.00882496739668e-10
"CXCL3",298.7318054793,2.21118514178785,0.424932455251078,5.20361557340058,1.9544810634407e-07,0.000205114178723453
"CXCL2",419.293149846199,1.38403219222506,0.287556385362737,4.81308106053421,1.48620970068072e-06,0.00098457481591938
"CSF2",41.1696755222103,2.93984123196784,0.598554854200073,4.91156526647292,9.03522022392582e-07,0.000758175446390362
"HBEGF",862.511332133734,1.29029117836376,0.333833351709876,3.86507570844841,0.000111054746674919,0.0258860388221705
"TNIP1",2749.53598346144,1.26246522938923,0.24261753689982,5.2035200980155,1.95548593364697e-07,0.000205114178723453
"VNN1",17.7960425181599,1.88297987845601,0.343437532954601,5.48274343301005,4.18780154459079e-08,5.85687311575158e-05
"TNFAIP3",2995.48504609014,1.61001874236527,0.350687621649633,4.59103385169899,4.41055786274998e-06,0.00198270327922979
"SOD2",2377.58664956019,1.51757406935701,0.349660047880844,4.34014145612129,1.42391024349949e-05,0.00543113885906912
"IL6",157.75571927405,2.88622759295489,0.585231027200126,4.93177473307121,8.14858575369164e-07,0.000732616063440833
"INHBA",1182.3192579772,1.82557638979807,0.449940969783017,4.05736866033439,4.96287099414268e-05,0.0132909908943136
"PLAT",292.412992987414,1.38838808490948,0.300871013822047,4.61456245742123,3.93924304074155e-06,0.00190704815976207
