"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZC3H12A",591.891340300133,1.67050017915969,0.242484178579385,6.88910999862532,5.6142516402313e-12,3.53332926977957e-08
"SPRR2D",891.97288972516,2.97212454558249,0.61979422238527,4.79534083771273,1.62398469014938e-06,0.00102205476474551
"SPRR2E",251.485590130754,3.60938719419109,0.781798663582922,4.61677329767942,3.8975263622297e-06,0.0019070404853409
"S100A7",97.5486618487357,4.21570549578218,1.14492175996098,3.68209046522607,0.000231329289189629,0.0469635768230623
"ADAM8",529.040741007479,1.0089109179317,0.257769437168692,3.91400520175493,9.07776784167222e-05,0.0228523727646257
"IRF7",1142.45823675077,1.57066412444985,0.36766156941833,4.27203780622154,1.93694726562576e-05,0.00658928519795444
"IFITM10",90.7531696959805,-1.57652779788935,0.335177344923329,-4.70356311895117,2.556600089798e-06,0.00139912718827337
"MRGPRX3",41.5979714004167,1.96658278916662,0.513782773151749,3.82765419926949,0.000129370336550715,0.0280755935545492
"SAA2",173.387985661994,2.43004664626861,0.562362998742479,4.32113537288643,1.55228398692795e-05,0.00574664663043002
"SAA1",1094.58991891196,2.21749338104113,0.499673410806441,4.43788549297077,9.08469234057872e-06,0.00381163408302881
"HEPHL1",186.906269671576,1.30373295750194,0.339794878728695,3.83682344589688,0.000124636008527157,0.0280141685594879
"BIRC3",294.431996044951,1.67876767883485,0.385027292018638,4.36012644722749,1.29987308123787e-05,0.00511296952298157
"RND1",285.043973542158,1.51483611593154,0.364238092348166,4.15891733389474,3.19759586748775e-05,0.00998650804289968
"KRT6B",9012.00140522209,1.54981742775025,0.288568844505855,5.37070254553696,7.84304865009933e-08,9.87204533588002e-05
"CYP27B1",233.153981318918,1.20802453723845,0.262753926575878,4.59755084531382,4.27486325035363e-06,0.00198269375636424
"OAS3",2000.79588945666,1.31003999378985,0.31985126741746,4.0957786547709,4.20751794319993e-05,0.0120363700797858
"IRF9",695.96743514822,1.24963156055966,0.184104255668314,6.78762995468731,1.13990568122649e-11,4.78266426986593e-08
"IFI27",1070.37254019041,2.8842861553875,0.652725805474951,4.4188327337369,9.92354106556093e-06,0.00402927778684566
"TNFAIP2",868.214851691738,1.54737398690356,0.360420766311204,4.29324315227576,1.76081987002848e-05,0.00633241134401386
"C15orf48",447.344821245013,1.23387209433098,0.322024282308923,3.83161196877479,0.000127306413269652,0.0280755935545492
