"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",48.8020711678922,-0.383100093603098,0.320165130976712,-1.19657032117893,0.231474074170469,0.452532601898922
"LOC729737",69.1898019507983,-0.374826469215601,0.271862338283149,-1.37873628095265,0.167976078965679,0.370627333387558
"LOC100133331",12.8041975892652,0.00589442899366599,0.426351147627559,0.0138252917260002,0.988969364581218,0.995796709540214
"LOC100288069",4.92658164278729,-0.785363884294848,1.25622319958701,-0.625178618380111,0.531853833480182,0.731749766767172
"LINC00115",4.04909250287221,-0.450473775489817,1.08466121937294,-0.415312880597171,0.677912873158303,0.833374543455888
"FAM41C",0.0622342135567078,-0.39077103851605,5.20146465483051,-0.0751271160043638,0.940113573333231,NA
"SAMD11",4.83647086288323,0.197346472078518,1.00822430942749,0.195736673112533,0.844816278596551,0.927482949106861
"NOC2L",1633.69911418495,-0.197342990999803,0.0966062170054741,-2.04275663737688,0.0410765350708763,0.139464996135405
"KLHL17",194.160883942862,-0.255166476004348,0.225621034455212,-1.13095162700799,0.258075451939784,0.484263264280468
"PLEKHN1",236.161544243762,0.185228405746131,0.147329687322359,1.25723748629731,0.208667652994904,0.425231331281422
"HES4",474.244360870062,2.25539445514309,0.308091937558274,7.32052410399898,2.47004338807251e-13,9.60709653327535e-12
"ISG15",5807.51455215721,7.22445228899737,0.505586174031476,14.2892599918043,2.55307919837981e-46,6.27161665538843e-44
"AGRN",5780.89157665728,0.579538969569207,0.16814465253399,3.44666904855659,0.000567543366495592,0.00451519444185868
"RNF223",27.737560819991,1.44543802183595,0.42855521427164,3.37281632261217,0.000744035682214327,0.0056804730765349
"C1orf159",147.565659897489,-0.0741467753092889,0.239687646093951,-0.309347505045068,0.757057198063732,0.882143834595856
"MIR200B",0.724029544565771,1.21272479333591,1.8098131315973,0.670082878813891,0.502804958545574,NA
"MIR200A",2.20182595504101,1.69777355608707,1.03290481213224,1.64368830132791,0.100240603674134,0.262742218765486
"MIR429",3.09673655837566,1.51875106752308,0.954279743978105,1.59151556669521,0.111493594966626,0.282609217364718
"TTLL10",0.373315197344579,0.330545068519895,3.14683174585655,0.10504059168563,0.916343599354771,NA
"TNFRSF18",3.91142296327519,0.507399304294012,0.746966054934471,0.679280271094146,0.496960294538886,0.703725530353306
"TNFRSF4",0.372059772560396,1.63118294821915,2.1278755215629,0.766578181707299,0.443332351823886,NA
"SDF4",1644.55739826889,0.14172134860798,0.147502363605286,0.960807306025443,0.336649064398588,0.567239494549824
"B3GALT6",207.284118768567,0.00369939856745498,0.201613474819982,0.0183489648732959,0.985360465709569,0.994164666440797
"UBE2J2",444.385119994626,-0.108633107277931,0.134338248528685,-0.808653592463169,0.418714428926554,0.640467493317633
"SCNN1D",17.7094048568848,1.97399691500281,0.492411816983348,4.00883335232705,6.10194569730289e-05,0.000657226489643346
"ACAP3",518.176379200148,-0.28023090782276,0.157804259453504,-1.77581333224614,0.0757636895009692,0.216381394242059
"PUSL1",174.765069731415,-0.46609421690554,0.179616534226294,-2.59494048759632,0.00946072987034755,0.0460604463167715
