"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",48.8020711678922,-0.873697522674539,0.294624464832471,-2.96546155178029,0.00302229120574978,0.0142965824498625
"LOC729737",69.1898019507983,-0.486629469219116,0.247786496713033,-1.9639063293376,0.0495409557255115,0.124909470486196
"LOC100133331",12.8041975892652,-0.62759931464537,0.406578798108314,-1.54361053150188,0.122682712159132,0.247468763752267
"LOC100288069",4.92658164278729,0.710979344069359,0.988868883314149,0.71898242129588,0.472151750793904,0.634119966033774
"LINC00115",4.04909250287221,0.550053397452657,0.90590935463567,0.607183704018458,0.543729005652912,0.6960057652552
"FAM41C",0.0622342135567078,-0.555131321626665,4.7482680142544,-0.116912381516829,0.906929486411318,NA
"SAMD11",4.83647086288323,-0.767819216115902,0.991452865978671,-0.774438445299143,0.438671555993955,0.603648860274804
"NOC2L",1633.69911418495,-0.277707908965865,0.088158956931866,-3.15008160975058,0.00163224860681008,0.00875321374685422
"KLHL17",194.160883942862,-0.449640903504819,0.206130448569363,-2.18134150789235,0.029158166472925,0.0832010570818483
"PLEKHN1",236.161544243762,-0.353428597274337,0.136207983091873,-2.59477153432297,0.00946538138074248,0.0348203571655993
"HES4",474.244360870062,1.41602352038725,0.282251892420389,5.01687874701017,5.25176889360485e-07,1.03428776132639e-05
"ISG15",5807.51455215721,5.61917196111709,0.462487861542073,12.1498798744276,5.74499442085967e-34,1.4519941454795e-31
"AGRN",5780.89157665728,-0.0129920260035627,0.15357579331476,-0.0845968347168812,0.932581915578709,0.962058082150704
"RNF223",27.737560819991,-0.770805166960977,0.41316682901493,-1.8656027367897,0.0620969664493147,0.148267914293255
"C1orf159",147.565659897489,-0.695104338158441,0.220494880181048,-3.15247382427969,0.00161893335742061,0.0086954751916869
"MIR200B",0.724029544565771,0.956954325123677,1.68111323183393,0.569238470676797,0.569194316376733,NA
"MIR200A",2.20182595504101,0.68184258245367,1.00284330612543,0.6799093919149,0.496561834428784,0.655676849485685
"MIR429",3.09673655837566,0.579139946154442,0.931112624657801,0.621986997939465,0.53395041755983,0.687940649377566
