"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",48.8020711678922,0.125770610576481,0.405919383346537,0.309841352092097,0.756681603553619,0.998750598439648
"LOC729737",69.1898019507983,0.141923996394055,0.293443733449873,0.483649777507683,0.628634441490383,0.998750598439648
"LOC100133331",12.8041975892652,0.00131266932114668,0.398424170482536,0.0032946528308182,0.997371252128814,0.999985710712785
"LOC100288069",4.92658164278729,0.0745493375844338,0.766116585684596,0.0973080846667967,0.922481735836389,NA
"LINC00115",4.04909250287221,-0.266939901544984,0.75244408181016,-0.354763773146842,0.722766570156997,NA
"FAM41C",0.0622342135567078,0.0899280672589981,5.98885879649857,0.0150158937311354,0.988019500448274,NA
"SAMD11",4.83647086288323,0.819464910702376,0.804488255971443,1.01861637459561,0.308385127389173,NA
"NOC2L",1633.69911418495,0.176793741917085,0.10989848788661,1.60870040449961,0.107681867322989,0.998750598439648
"KLHL17",194.160883942862,0.134748699262281,0.267392414790475,0.50393613209959,0.614306258840103,0.998750598439648
"PLEKHN1",236.161544243762,-0.0482810519927968,0.174414531752504,-0.276817828810894,0.781919990524285,0.998750598439648
"HES4",474.244360870062,-0.602531369540279,0.400746212024633,-1.50352355545969,0.132704087339877,0.998750598439648
"ISG15",5807.51455215721,0.761012770116494,0.596774626420315,1.27520966278567,0.202235042080928,0.998750598439648
"AGRN",5780.89157665728,-0.0318763962095412,0.194520561774772,-0.163871602666096,0.869832222650374,0.998750598439648
"RNF223",27.737560819991,-0.625170896110196,0.673866284158713,-0.927737313480062,0.353543848026555,0.998750598439648
"C1orf159",147.565659897489,-0.00779137241746944,0.298771652926544,-0.0260780175801519,0.979195110529102,0.999985710712785
"MIR200B",0.724029544565771,-0.156767013976522,2.24257978807744,-0.0699047654000835,0.944269460170066,NA
"MIR200A",2.20182595504101,0.700357776282125,1.23878512223934,0.565358562763568,0.571829903140879,NA
"MIR429",3.09673655837566,-1.07901059744983,0.852855840277199,-1.26517348711492,0.205809144365875,NA
"TTLL10",0.373315197344579,0.71096488860951,3.61581515257743,0.196626447594457,0.844119872436899,NA
"TNFRSF18",3.91142296327519,1.47050449299872,1.54347070875443,0.952725882427274,0.340728975927678,NA
"TNFRSF4",0.372059772560396,1.59661760662988,2.4800227037289,0.643791528290951,0.519710628037817,NA
"SDF4",1644.55739826889,0.153328919260341,0.169937282436357,0.902267689950635,0.366914684683819,0.998750598439648
"B3GALT6",207.284118768567,-0.160793500095266,0.234503673239951,-0.685675827050852,0.492917553404318,0.998750598439648
"UBE2J2",444.385119994626,-0.0334581329129129,0.158957693480424,-0.210484514340499,0.833289536715654,0.998750598439648
"SCNN1D",17.7094048568848,-0.357905375193092,0.609439870663482,-0.587269380330252,0.557022802205976,0.998750598439648
"ACAP3",518.176379200148,0.00392951034515742,0.18604863112718,0.021120877489667,0.983149230780423,0.999985710712785
"PUSL1",174.765069731415,-0.0016848861300486,0.224716243729258,-0.00749783861676945,0.994017646380585,0.999985710712785
"TAS1R3",14.3841399640078,-3.77684916489159,1.23330357086805,-3.0623840343163,0.00219581538950535,0.219354986569078
"DVL1",1259.76099374576,0.0532186261668721,0.206757028889727,0.257396938100015,0.796872366323303,0.998750598439648
"MXRA8",43.2424390151896,0.308409380723102,0.4591777992158,0.671655688166577,0.501802917255152,0.998750598439648
"AURKAIP1",948.362547407339,0.213696956215181,0.22551035364226,0.947614833482017,0.343325571893255,0.998750598439648
"CCNL2",1050.54225156544,0.0775785373424138,0.1332173156031,0.582345748307575,0.560333816293175,0.998750598439648
"LOC148413",102.074020447191,-0.0422420737467443,0.215687036969949,-0.195848922309734,0.844728417017412,0.998750598439648
"MRPL20",673.647587295148,0.101115275340679,0.203246626981157,0.497500385824623,0.618836230903242,0.998750598439648
"ANKRD65",152.749783073689,-0.163179342252083,0.242257214616016,-0.673578875703357,0.500579086939023,0.998750598439648
"TMEM88B",0.322318710807108,0.713904691193139,3.24161464431573,0.22023120251045,0.825691097031248,NA
"VWA1",424.048607607132,0.148230474146213,0.318763120480588,0.465017640443258,0.641918823925397,0.998750598439648
"ATAD3C",11.4280451365552,0.413735025357765,0.447542457687277,0.924459832248731,0.355246955504155,0.998750598439648
"ATAD3B",520.774106985331,0.295366238903268,0.264816347298494,1.11536255943572,0.264695086982151,0.998750598439648
"ATAD3A",489.496005177533,0.36429447328746,0.192793807647062,1.88955484480267,0.0588175211580945,0.974129275117329
"TMEM240",0.987281402104899,-1.07826635685264,1.82599926287589,-0.59050755319277,0.554850423406203,NA
"SSU72",1117.73652775697,0.0291903165055863,0.164818317781627,0.177106021335938,0.85942511235182,0.998750598439648
"MIB2",273.835855771519,-0.103416958015868,0.280009742262983,-0.369333428116011,0.711879212083448,0.998750598439648
"MMP23B",0.0511169928663796,0,6.00544352955191,0,1,NA
"MMP23A",0.0368655108376017,0,6.00544352957119,0,1,NA
"CDK11B",225.808007126034,0.304390578035256,0.228276309847285,1.33343043016111,0.182390591797418,0.998750598439648
"SLC35E2B",231.864739405994,-0.00560501619135417,0.229216947646663,-0.0244528873143982,0.980491362941926,0.999985710712785
"CDK11A",95.6092164143838,0.415546231701355,0.215869951228355,1.92498413668411,0.0542313428498493,0.966972311608351
"NADK",649.139611590018,0.104004022639988,0.142104282417011,0.731885210431478,0.464238633886941,0.998750598439648
"GNB1",5695.05733611067,0.0995447302530296,0.106959660991,0.930675446525634,0.35202147440337,0.998750598439648
"CALML6",1.99802507140828,0.431209844176281,0.978571172605996,0.440652510770313,0.659464581368026,NA
"TMEM52",2.42025747791123,0.711952513929179,1.03564831505099,0.687446214687394,0.491801583287078,NA
"PRKCZ",322.975448118065,-0.0186053458675569,0.151574336858482,-0.122747334761081,0.902307179534828,0.998750598439648
"SKI",709.984410316978,0.181154318657764,0.182924311289434,0.990323907089259,0.322015824871312,0.998750598439648
"MORN1",20.064877292432,0.335805066691216,0.330934059614228,1.01471896571379,0.310239810841615,0.998750598439648
"LOC100129534",8.47698313438988,-0.153870124355089,0.450920039617724,-0.341235941710497,0.732925967730939,0.998750598439648
"RER1",1477.78356474249,0.0428759502829074,0.130635795136138,0.328209815986693,0.742753026488068,0.998750598439648
"PEX10",137.325134953333,-0.31512576155853,0.174615300128069,-1.80468585128225,0.0711238551052874,0.998750598439648
"PLCH2",1229.57464291279,0.159641499210597,0.186012399417723,0.858230417490043,0.390765243076104,0.998750598439648
"PANK4",243.815127194748,0.275125645124981,0.168819331599861,1.62970462279219,0.10316393988304,0.998750598439648
"HES5",16.2669408675352,-0.514343526195578,1.03368246570765,-0.497583680926097,0.618777508321446,0.998750598439648
"TNFRSF14",69.1137877120904,-0.311248264276485,0.32209415092835,-0.966326967998006,0.333880595662932,0.998750598439648
"FAM213B",72.7120896922177,0.0567515859175457,0.21164199944291,0.268148978307372,0.788584646560401,0.998750598439648
"MMEL1",0.655035785390026,1.18129992550403,1.72555373030226,0.684591794946373,0.493601546107791,NA
"TTC34",0.143782962127366,-0.156846905458674,6.00544352940276,-0.0261174557200895,0.979163654160303,NA
"PRDM16",19.4234279006749,-0.245044305562389,0.425555136355959,-0.57582269517579,0.564735031733013,0.998750598439648
"ARHGEF16",233.902498027878,0.21619248863617,0.233523029568619,0.925786587453651,0.354556898847827,0.998750598439648
"MEGF6",37.3872005845056,-0.292494158993706,0.303826632833836,-0.962700854318036,0.335697667872898,0.998750598439648
"TPRG1L",846.632150528189,0.0891393799797635,0.137072508186736,0.650308228534985,0.515493142963585,0.998750598439648
"WRAP73",171.588802998505,0.075773818419733,0.225877748144722,0.335463847333841,0.737275211936062,0.998750598439648
"TP73",4.15620293092851,-0.960917368922185,0.90141605675552,-1.06600871120582,0.286419704051151,NA
"TP73-AS1",117.066773589258,0.0579552937012341,0.220647347396238,0.262660278426815,0.792812435232032,0.998750598439648
"CCDC27",0.110434541695564,0,6.00544352953967,0,1,NA
"SMIM1",8.52399802799374,0.759008613199177,0.665208141073926,1.1410092064926,0.253866091819386,0.998750598439648
"LRRC47",518.879526049867,0.178281922639578,0.105987297315503,1.68210650856459,0.0925481885273767,0.998750598439648
"CEP104",439.180225838265,0.0564286765165652,0.150550526051225,0.374815538654213,0.707797657180766,0.998750598439648
"DFFB",69.1635876111102,0.347090104777813,0.235229855522069,1.47553593487307,0.140068514587562,0.998750598439648
"C1orf174",188.639142295048,0.0995458599747985,0.167659391043059,0.593738646881001,0.552686930146622,0.998750598439648
"AJAP1",14.9841179017125,-0.923479320802876,0.428290540296719,-2.15619826709945,0.0310681868096429,0.814698473693699
"MIR4689",0.0368655108376017,0,6.00544352957119,0,1,NA
"NPHP4",107.527222198778,0.364001164999388,0.173243322721385,2.10109780441458,0.0356323816044413,0.852670698203618
"KCNAB2",11.6583158731792,0.0195966725407103,0.42610895595528,0.0459898161416888,0.963318366863943,0.998750598439648
"CHD5",2.04064911327667,-0.0435119798954799,1.26397248872951,-0.0344247839913163,0.972538420414365,NA
"RPL22",3362.15822195646,0.255770477142263,0.155705251348942,1.64265800238857,0.100453712720728,0.998750598439648
"RNF207",114.486853148769,0.393841665474015,0.247527066779203,1.59110545201639,0.111585845762897,0.998750598439648
"ICMT",1115.10411599908,0.0090158840417358,0.114367249356932,0.0788327435732745,0.93716565947785,0.998750598439648
"HES3",0.0310020693282258,-0.156861252456335,6.00544352946116,-0.0261198447186814,0.979161748665271,NA
"GPR153",800.041823490997,0.248271926549133,0.166297419277872,1.49293914257495,0.135453117845669,0.998750598439648
"ACOT7",1500.28851040751,0.216901147247623,0.242045523421316,0.89611716086182,0.37019019259829,0.998750598439648
"HES2",2722.03644946226,0.0469629915018661,0.156940291900627,0.299241137716263,0.764756063117954,0.998750598439648
"ESPN",535.534060947964,-0.391152962657386,0.309370381279505,-1.26435168434561,0.206103826390195,0.998750598439648
"MIR4252",0.0749481609785641,0,6.00544352957119,0,1,NA
"TNFRSF25",270.900005948985,0.0660044455051386,0.220523236314089,0.299308347765806,0.764704785787938,0.998750598439648
"PLEKHG5",1034.69743010531,0.0989197368556758,0.151257599152997,0.653981931549888,0.51312344650423,0.998750598439648
"NOL9",236.1381710562,-0.0615426197039707,0.216667733794058,-0.284041461210218,0.776378607128455,0.998750598439648
"TAS1R1",0.371659847331242,1.62059256231016,4.00374463370216,0.404769212468888,0.685647161435741,NA
"ZBTB48",131.274803395057,0.106445738599049,0.198093422274026,0.537351202160572,0.591025043686033,0.998750598439648
"KLHL21",1009.60749515495,0.0913932539441918,0.19980739811225,0.457406756745052,0.647378708719478,0.998750598439648
"PHF13",167.610963881926,-0.0177151164377627,0.187206749848807,-0.0946286202397612,0.924609816172121,0.998750598439648
"THAP3",110.721421217895,0.321471102434303,0.227216619962703,1.41482213091221,0.157120653628914,0.998750598439648
"DNAJC11",668.547394208195,0.238695487595786,0.132007783218955,1.80819253058642,0.0705765407466837,0.998750598439648
"CAMTA1",228.990054395467,0.0381399715337224,0.188133602398827,0.202728120056241,0.839347542906851,0.998750598439648
