"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",48.8020711678922,0.125771857367685,0.405919585075979,0.309844269633216,0.756679384793483,0.998752624859637
"LOC729737",69.1898019507983,0.141924759027918,0.293443809418243,0.483652251207091,0.628632685620733,0.998752624859637
"LOC100133331",12.8041975892652,0.00131342519060945,0.398424360561547,0.00329654840572069,0.997369739687078,0.999984529912131
"LOC100288069",4.92658164278729,0.0745512023935956,0.766117933604674,0.0973103475633621,0.92247993883431,NA
"LINC00115",4.04909250287221,-0.266938898602669,0.752445365199155,-0.354761835142697,0.722768022152728,NA
"FAM41C",0.0622342135567078,0.089905489049342,5.98950231518793,0.015010510776724,0.988023794940482,NA
"SAMD11",4.83647086288323,0.819469780937327,0.804489822744327,1.01862044462154,0.30838319440254,NA
"NOC2L",1633.69911418495,0.176793883770088,0.109898491874043,1.60870163689521,0.107681597716255,0.998752624859637
"KLHL17",194.160883942862,0.134749294282584,0.267392472255462,0.503938249068759,0.614304771160296,0.998752624859637
"PLEKHN1",236.161544243762,-0.0482808198094104,0.174414547702654,-0.276816472280286,0.781921032194287,0.998752624859637
"HES4",474.244360870062,-0.602531307481189,0.40074640838227,-1.50352266390479,0.132704317065302,0.998752624859637
"ISG15",5807.51455215721,0.761010073517862,0.596775254528645,1.27520380200572,0.202237115948452,0.998752624859637
"AGRN",5780.89157665728,-0.0318760017586347,0.194520583855982,-0.163869556253413,0.869833833674715,0.998752624859637
"RNF223",27.737560819991,-0.625171082440597,0.673867240218032,-0.92773627374781,0.353544387492348,0.998752624859637
"C1orf159",147.565659897489,-0.00779074567828218,0.298771733081487,-0.0260759128647466,0.97919678927815,0.999984529912131
"MIR200B",0.724029544565771,-0.156806115558868,2.24261362384288,-0.0699211464211877,0.94425642190955,NA
"MIR200A",2.20182595504101,0.700357486890918,1.23879044384609,0.565355900483466,0.571831713594049,NA
"MIR429",3.09673655837566,-1.07901337321184,0.852857841201749,-1.26517377349948,0.205809041727485,NA
"TTLL10",0.373315197344579,0.710923307486303,3.61595711848829,0.196607228512576,0.844134913487807,NA
"TNFRSF18",3.91142296327519,1.47050954588498,1.54348020837996,0.952723292401931,0.340730288559621,NA
"TNFRSF4",0.372059772560396,1.59661336626807,2.48006761250475,0.643778160812142,0.519719297475985,NA
"SDF4",1644.55739826889,0.153329241280043,0.169937297166194,0.902269506676286,0.366913719850459,0.998752624859637
"B3GALT6",207.284118768567,-0.160793084716117,0.234503711944031,-0.685673942570656,0.492918742015615,0.998752624859637
"UBE2J2",444.385119994626,-0.0334579200555695,0.158957705545541,-0.210483159282793,0.833290594208604,0.998752624859637
"SCNN1D",17.7094048568848,-0.357904928980003,0.609440556893451,-0.587267986896671,0.557023737903791,0.998752624859637
"ACAP3",518.176379200148,0.00392985176145454,0.186048650464919,0.0211227103858812,0.983147768667015,0.999984529912131
"PUSL1",174.765069731415,-0.00168448000165038,0.224716277887863,-0.00749603018296235,0.994019089261451,0.999984529912131
"TAS1R3",14.3841399640078,-3.77686956025043,1.23331289367611,-3.06237742232047,0.00219586389910032,0.219359832523617
"DVL1",1259.76099374576,0.0532190497104593,0.206757055416455,0.257398953584749,0.796870810598536,0.998752624859637
"MXRA8",43.2424390151896,0.308410846408339,0.459178091615668,0.671658452438707,0.501801157060512,0.998752624859637
"AURKAIP1",948.362547407339,0.21369747341153,0.225510388085447,0.947616982196665,0.343324477619924,0.998752624859637
"CCNL2",1050.54225156544,0.0775787349141203,0.133217322702803,0.582347200350155,0.560332838428336,0.998752624859637
"LOC148413",102.074020447191,-0.0422416687775941,0.215687067110588,-0.195847017363984,0.844729908072473,0.998752624859637
"MRPL20",673.647587295148,0.10111566707239,0.203246652183164,0.497502251507027,0.618834915580914,0.998752624859637
